ID_Atendimento,ID_Cliente,Tipo,Data,Tempo_Resposta,Nota_Satisfacao
124,41,Elogio,2022-08-13,3600.6,1
125,28,Reclamação,2023-12-03,3016.8,5
126,7,Dúvida,2022-11-29,14710.199999999999,5
127,73,Elogio,2024-05-13,51255.0,2
128,72,Dúvida,2024-02-26,1459.2,4
129,12,Reclamação,2024-03-05,2637.6,1
130,34,Dúvida,2022-02-27,5213.4,1
131,33,Dúvida,2022-08-23,3410.4,3
132,48,Dúvida,2024-04-21,511.2,5
133,23,Dúvida,2022-02-02,1077.6000000000001,1
134,62,Reclamação,2024-04-04,249.00000000000003,5
135,88,Dúvida,2022-11-20,5544.599999999999,1
136,37,Dúvida,2023-02-15,1677.6000000000001,2
137,99,Elogio,2022-10-02,467.4,4
138,44,Dúvida,2022-03-09,2004.6,1
139,86,Elogio,2022-08-05,1732.8,5
140,91,Reclamação,2024-07-24,798.0,2
141,35,Reclamação,2024-08-23,217.20000000000002,1
142,65,Reclamação,2023-08-04,2004.0,3
143,99,Reclamação,2024-06-16,1322.3999999999999,4
144,47,Elogio,2024-01-06,2663.4,1
145,78,Dúvida,2022-11-19,1321.8000000000002,2
146,3,Reclamação,2022-08-06,3441.0,3
147,1,Dúvida,2023-11-03,1444.8,2
148,5,Elogio,2023-05-27,1481.4,2
149,90,Elogio,2023-02-10,3766.8,3
150,14,Elogio,2024-06-24,930.0,2
151,27,Reclamação,2024-07-25,259.20000000000005,3
152,9,Dúvida,2023-10-21,52.8,1
153,79,Dúvida,2023-04-15,2532.6,3
154,15,Dúvida,2022-05-27,1743.0,3
155,90,Elogio,2022-09-29,2191.8,4
156,42,Reclamação,2022-05-23,430.79999999999995,3
157,77,Elogio,2022-09-10,264.0,3
158,51,Elogio,2024-02-02,26.4,1
159,63,Dúvida,2023-07-29,777.0,4
160,96,Elogio,2023-07-06,1604.3999999999999,5
161,52,Dúvida,2022-09-27,896.4,1
162,96,Reclamação,2024-02-04,1035.6000000000001,1
163,4,Dúvida,2023-08-22,4221.0,5
164,94,Reclamação,2023-03-15,770.4,3
165,23,Dúvida,2024-07-08,1299.0,2
166,15,Elogio,2023-08-21,2755.8,4
167,43,Elogio,2023-02-13,909.0,2
168,29,Reclamação,2023-01-06,1751.4,5
169,36,Reclamação,2022-08-13,3569.4,1
170,13,Reclamação,2022-05-22,5375.400000000001,1
171,32,Dúvida,2023-06-06,286.2,4
172,71,Dúvida,2023-05-21,4701.0,1
173,59,Reclamação,2022-04-04,1219.8,1
174,86,Elogio,2024-02-13,2688.0,4
175,28,Dúvida,2022-02-18,1106.4,4
176,66,Dúvida,2024-05-31,7044.599999999999,5
177,42,Dúvida,2022-04-23,1221.0,1
178,45,Reclamação,2022-06-06,717.6,1
179,62,Reclamação,2023-10-05,1806.0,5
180,57,Reclamação,2022-06-13,494.40000000000003,3
181,6,Reclamação,2024-03-22,142.20000000000002,3
182,28,Reclamação,2023-11-28,248.39999999999998,3
183,28,Elogio,2023-03-09,246.60000000000002,5
184,44,Elogio,2023-09-03,296.40000000000003,1
185,84,Reclamação,2022-03-07,268.8,5
186,30,Dúvida,2023-01-30,1843.1999999999998,5
187,62,Reclamação,2023-01-26,361.2,3
188,75,Elogio,2023-09-03,763.2,2
189,92,Elogio,2023-04-25,4087.7999999999997,1
190,89,Dúvida,2023-06-26,1156.2,3
191,62,Elogio,2022-09-15,1982.3999999999999,2
192,97,Reclamação,2024-09-21,340.2,2
193,1,Dúvida,2023-07-21,384.6,4
194,27,Reclamação,2024-05-31,75.0,1
195,62,Reclamação,2024-08-23,333.0,2
196,77,Dúvida,2022-01-12,588.0,3
197,3,Reclamação,2023-11-28,350.4,4
198,70,Elogio,2024-01-09,167.4,1
199,72,Reclamação,2022-04-28,231.6,5
200,27,Dúvida,2023-11-30,1111.8000000000002,3
201,9,Dúvida,2024-06-25,415.79999999999995,2
202,62,Dúvida,2023-07-04,815.4,2
203,37,Reclamação,2024-02-08,1260.0,3
204,97,Dúvida,2022-10-01,2110.2000000000003,2
205,51,Dúvida,2024-02-27,72.0,4
206,44,Reclamação,2023-10-19,2891.3999999999996,1
207,24,Elogio,2022-12-15,1779.6,4
208,79,Reclamação,2022-04-25,153.6,2
209,59,Dúvida,2022-10-28,3722.4,5
210,32,Dúvida,2023-03-22,4566.0,1
211,96,Reclamação,2022-06-11,113.39999999999999,1
212,88,Elogio,2023-04-10,583.8000000000001,3
213,52,Dúvida,2022-01-04,2953.7999999999997,3
214,62,Dúvida,2024-09-03,2482.8,5
215,58,Dúvida,2024-01-10,367.2,1
216,52,Reclamação,2024-06-15,423.0,5
217,12,Dúvida,2024-01-07,832.8000000000001,3
218,39,Elogio,2022-09-27,1192.8,3
219,2,Dúvida,2024-09-22,1733.4,1
220,3,Dúvida,2023-05-28,828.6,4
221,56,Elogio,2024-02-20,1117.8,2
222,81,Dúvida,2022-07-02,2477.4,3
223,59,Reclamação,2023-06-04,67.2,3
224,2,Reclamação,2024-07-23,523.8000000000001,4
225,2,Reclamação,2022-04-19,2248.7999999999997,4
226,92,Elogio,2024-06-10,4060.2000000000003,5
227,54,Dúvida,2023-10-03,1290.0,5
228,87,Reclamação,2022-11-02,1367.3999999999999,2
229,96,Elogio,2024-05-11,204.0,2
230,97,Dúvida,2023-10-17,1067.3999999999999,1
231,1,Elogio,2023-06-04,1369.2,5
232,19,Reclamação,2023-09-16,499.8,3
233,2,Reclamação,2022-07-23,564.6,5
234,53,Reclamação,2022-06-06,852.6,3
235,44,Elogio,2023-01-18,36.6,4
236,90,Elogio,2024-02-20,699.6,5
237,32,Reclamação,2022-06-15,427.8,4
238,70,Elogio,2023-07-07,714.0,2
239,32,Reclamação,2024-09-03,229.8,2
240,68,Reclamação,2024-03-08,3981.6,1
241,55,Dúvida,2024-08-02,1620.6000000000001,5
242,75,Elogio,2023-06-28,2046.0,4
243,56,Reclamação,2024-07-29,2802.0,3
244,17,Reclamação,2022-01-01,1242.0,2
245,38,Elogio,2023-09-06,163.8,2
246,24,Dúvida,2022-11-28,1386.6,3
247,69,Dúvida,2023-05-16,1591.2,4
248,98,Reclamação,2022-01-20,2463.0,4
249,70,Elogio,2022-04-25,1017.0,5
250,86,Dúvida,2024-08-09,245.39999999999998,5
251,11,Elogio,2023-01-07,600.6,1
252,16,Elogio,2024-06-18,811.8,2
253,97,Reclamação,2024-05-01,1869.0,5
254,73,Dúvida,2024-04-06,1522.2,4
255,59,Reclamação,2022-11-11,792.6,3
256,70,Dúvida,2022-09-03,7751.4,4
257,80,Dúvida,2022-03-01,1675.2,2
258,93,Dúvida,2022-09-04,487.19999999999993,4
259,3,Dúvida,2024-06-18,193.20000000000002,1
260,20,Dúvida,2023-08-04,298.8,2
261,59,Elogio,2024-08-27,508.20000000000005,3
262,36,Reclamação,2022-03-22,315.0,1
263,19,Elogio,2022-03-29,371.40000000000003,2
264,90,Dúvida,2024-01-20,604.2,3
265,67,Reclamação,2023-05-13,342.6,1
266,19,Dúvida,2024-04-15,4087.2000000000003,1
267,20,Reclamação,2022-03-12,150.6,2
268,96,Elogio,2024-02-18,1338.0,5
269,71,Reclamação,2023-06-30,951.0,1
270,52,Reclamação,2024-02-24,7269.599999999999,1
271,33,Reclamação,2022-05-09,213.6,3
272,40,Reclamação,2022-05-12,913.2,4
273,39,Reclamação,2023-11-07,6280.2,2
274,82,Dúvida,2023-05-02,3611.3999999999996,2
275,1,Reclamação,2024-08-27,3057.6,5
276,11,Reclamação,2023-07-17,537.0,5
277,92,Elogio,2022-06-19,337.2,2
278,57,Reclamação,2022-09-29,1988.4,5
279,89,Elogio,2023-06-25,4770.6,3
280,50,Dúvida,2024-06-12,1464.6,2
281,23,Reclamação,2023-09-14,1525.8,5
282,31,Elogio,2023-03-10,591.0,2
283,94,Elogio,2024-09-14,2641.2000000000003,4
284,42,Dúvida,2022-08-05,1863.0,1
285,99,Reclamação,2024-08-09,703.8000000000001,2
286,7,Reclamação,2023-07-07,997.2,1
287,16,Elogio,2024-02-13,1275.0,5
288,90,Reclamação,2024-01-18,499.8,1
289,60,Elogio,2023-12-08,219.60000000000002,2
290,2,Reclamação,2022-07-25,1698.0,4
291,1,Elogio,2024-01-01,613.2,5
292,48,Reclamação,2022-11-16,1566.6,2
293,12,Dúvida,2023-02-13,301.8,5
294,69,Reclamação,2023-11-19,1180.8,3
295,37,Reclamação,2023-10-28,1369.2,1
296,32,Dúvida,2023-01-18,96.0,3
297,9,Reclamação,2023-03-25,738.6,2
298,99,Dúvida,2024-07-10,259.8,4
299,19,Reclamação,2023-06-14,117.6,5
300,48,Elogio,2023-04-08,8282.4,1
301,80,Elogio,2022-05-04,700.2,5
