ID_Atendimento,ID_Cliente,Tipo,Data,Nota_Satisfacao,informações importantes,Tempo_Resp
94,62,Dúvida,2022-10-12,3,Ruim,7711.200000000001
95,40,Reclamação,2023-04-10,5,Médio,2156.3999999999996
96,85,Reclamação,2023-10-13,4,Bom,1382.3999999999999
97,80,Reclamação,2024-05-04,3,Bom,666.5999999999999
98,82,Elogio,2023-01-09,2,Ruim,3025.8
99,53,Dúvida,2022-06-16,2,Médio,2077.8
100,24,Elogio,2023-01-15,3,Bom,319.20000000000005
101,26,Reclamação,2022-12-30,4,Ruim,4353.0
102,89,Dúvida,2022-08-03,2,Ruim,3112.2
103,60,Elogio,2023-11-18,5,Ruim,5385.0
104,41,Dúvida,2022-10-01,2,Médio,2328.6000000000004
105,29,Elogio,2023-12-20,1,Bom,1710.6000000000001
106,15,Dúvida,2024-08-17,1,Bom,975.0
107,45,Reclamação,2023-12-01,4,Ruim,4858.2
108,65,Reclamação,2023-10-26,3,Ruim,3618.6000000000004
109,89,Dúvida,2022-03-15,4,Bom,83.39999999999999
110,71,Elogio,2023-09-16,4,Bom,48.0
111,9,Reclamação,2023-10-13,4,Bom,850.2
112,88,Reclamação,2022-06-25,4,Ruim,2994.6
113,1,Reclamação,2023-07-01,5,Ruim,39279.00000000001
114,8,Dúvida,2024-01-17,5,Bom,293.4
115,88,Dúvida,2022-09-08,2,Bom,1623.0
116,63,Elogio,2022-06-17,1,Ruim,4314.0
117,11,Elogio,2023-04-19,4,Ruim,6306.6
118,81,Elogio,2023-01-24,2,Ruim,16614.000000000004
119,8,Dúvida,2022-10-04,1,Ruim,3280.2000000000003
120,35,Dúvida,2024-08-05,3,Bom,1138.1999999999998
121,35,Elogio,2023-10-18,5,Bom,964.8
122,33,Elogio,2023-12-06,1,Bom,574.8
123,5,Dúvida,2023-07-25,3,Bom,104.4
124,41,Elogio,2022-08-13,1,Ruim,3600.6
125,28,Reclamação,2023-12-03,5,Ruim,3016.8
126,7,Dúvida,2022-11-29,5,Ruim,14710.199999999999
127,73,Elogio,2024-05-13,2,Ruim,51255.0
128,72,Dúvida,2024-02-26,4,Bom,1459.2
129,12,Reclamação,2024-03-05,1,Ruim,2637.6
130,34,Dúvida,2022-02-27,1,Ruim,5213.4
131,33,Dúvida,2022-08-23,3,Ruim,3410.4
132,48,Dúvida,2024-04-21,5,Bom,511.2
133,23,Dúvida,2022-02-02,1,Bom,1077.6000000000001
134,62,Reclamação,2024-04-04,5,Bom,249.00000000000003
135,88,Dúvida,2022-11-20,1,Ruim,5544.599999999999
136,37,Dúvida,2023-02-15,2,Bom,1677.6000000000001
137,99,Elogio,2022-10-02,4,Bom,467.4
138,44,Dúvida,2022-03-09,1,Bom,2004.6
139,86,Elogio,2022-08-05,5,Bom,1732.8
140,91,Reclamação,2024-07-24,2,Bom,798.0
141,35,Reclamação,2024-08-23,1,Bom,217.20000000000002
142,65,Reclamação,2023-08-04,3,Bom,2004.0
143,99,Reclamação,2024-06-16,4,Bom,1322.3999999999999
144,47,Elogio,2024-01-06,1,Ruim,2663.4
145,78,Dúvida,2022-11-19,2,Bom,1321.8000000000002
146,3,Reclamação,2022-08-06,3,Ruim,3441.0
147,1,Dúvida,2023-11-03,2,Bom,1444.8
148,5,Elogio,2023-05-27,2,Bom,1481.4
149,90,Elogio,2023-02-10,3,Ruim,3766.8
150,14,Elogio,2024-06-24,2,Bom,930.0
151,27,Reclamação,2024-07-25,3,Bom,259.20000000000005
152,9,Dúvida,2023-10-21,1,Bom,52.8
153,79,Dúvida,2023-04-15,3,Ruim,2532.6
154,15,Dúvida,2022-05-27,3,Bom,1743.0
155,90,Elogio,2022-09-29,4,Médio,2191.8
156,42,Reclamação,2022-05-23,3,Bom,430.79999999999995
157,77,Elogio,2022-09-10,3,Bom,264.0
158,51,Elogio,2024-02-02,1,Bom,26.4
159,63,Dúvida,2023-07-29,4,Bom,777.0
160,96,Elogio,2023-07-06,5,Bom,1604.3999999999999
161,52,Dúvida,2022-09-27,1,Bom,896.4
162,96,Reclamação,2024-02-04,1,Bom,1035.6000000000001
163,4,Dúvida,2023-08-22,5,Ruim,4221.0
164,94,Reclamação,2023-03-15,3,Bom,770.4
165,23,Dúvida,2024-07-08,2,Bom,1299.0
166,15,Elogio,2023-08-21,4,Ruim,2755.8
167,43,Elogio,2023-02-13,2,Bom,909.0
168,29,Reclamação,2023-01-06,5,Bom,1751.4
169,36,Reclamação,2022-08-13,1,Ruim,3569.4
170,13,Reclamação,2022-05-22,1,Ruim,5375.400000000001
171,32,Dúvida,2023-06-06,4,Bom,286.2
172,71,Dúvida,2023-05-21,1,Ruim,4701.0
173,59,Reclamação,2022-04-04,1,Bom,1219.8
174,86,Elogio,2024-02-13,4,Ruim,2688.0
175,28,Dúvida,2022-02-18,4,Bom,1106.4
176,66,Dúvida,2024-05-31,5,Ruim,7044.599999999999
177,42,Dúvida,2022-04-23,1,Bom,1221.0
178,45,Reclamação,2022-06-06,1,Bom,717.6
179,62,Reclamação,2023-10-05,5,Bom,1806.0
180,57,Reclamação,2022-06-13,3,Bom,494.40000000000003
181,6,Reclamação,2024-03-22,3,Bom,142.20000000000002
182,28,Reclamação,2023-11-28,3,Bom,248.39999999999998
183,28,Elogio,2023-03-09,5,Bom,246.60000000000002
184,44,Elogio,2023-09-03,1,Bom,296.40000000000003
185,84,Reclamação,2022-03-07,5,Bom,268.8
186,30,Dúvida,2023-01-30,5,Bom,1843.1999999999998
187,62,Reclamação,2023-01-26,3,Bom,361.2
188,75,Elogio,2023-09-03,2,Bom,763.2
189,92,Elogio,2023-04-25,1,Ruim,4087.7999999999997
190,89,Dúvida,2023-06-26,3,Bom,1156.2
191,62,Elogio,2022-09-15,2,Bom,1982.3999999999999
192,97,Reclamação,2024-09-21,2,Bom,340.2
193,1,Dúvida,2023-07-21,4,Bom,384.6
194,27,Reclamação,2024-05-31,1,Bom,75.0
195,62,Reclamação,2024-08-23,2,Bom,333.0
196,77,Dúvida,2022-01-12,3,Bom,588.0
197,3,Reclamação,2023-11-28,4,Bom,350.4
198,70,Elogio,2024-01-09,1,Bom,167.4
199,72,Reclamação,2022-04-28,5,Bom,231.6
200,27,Dúvida,2023-11-30,3,Bom,1111.8000000000002
201,9,Dúvida,2024-06-25,2,Bom,415.79999999999995
202,62,Dúvida,2023-07-04,2,Bom,815.4
203,37,Reclamação,2024-02-08,3,Bom,1260.0
204,97,Dúvida,2022-10-01,2,Médio,2110.2000000000003
205,51,Dúvida,2024-02-27,4,Bom,72.0
206,44,Reclamação,2023-10-19,1,Ruim,2891.3999999999996
207,24,Elogio,2022-12-15,4,Bom,1779.6
208,79,Reclamação,2022-04-25,2,Bom,153.6
209,59,Dúvida,2022-10-28,5,Ruim,3722.4
210,32,Dúvida,2023-03-22,1,Ruim,4566.0
211,96,Reclamação,2022-06-11,1,Bom,113.39999999999999
212,88,Elogio,2023-04-10,3,Bom,583.8000000000001
213,52,Dúvida,2022-01-04,3,Ruim,2953.7999999999997
214,62,Dúvida,2024-09-03,5,Ruim,2482.8
215,58,Dúvida,2024-01-10,1,Bom,367.2
216,52,Reclamação,2024-06-15,5,Bom,423.0
217,12,Dúvida,2024-01-07,3,Bom,832.8000000000001
218,39,Elogio,2022-09-27,3,Bom,1192.8
219,2,Dúvida,2024-09-22,1,Bom,1733.4
220,3,Dúvida,2023-05-28,4,Bom,828.6
221,56,Elogio,2024-02-20,2,Bom,1117.8
222,81,Dúvida,2022-07-02,3,Ruim,2477.4
223,59,Reclamação,2023-06-04,3,Bom,67.2
224,2,Reclamação,2024-07-23,4,Bom,523.8000000000001
225,2,Reclamação,2022-04-19,4,Médio,2248.7999999999997
226,92,Elogio,2024-06-10,5,Ruim,4060.2000000000003
227,54,Dúvida,2023-10-03,5,Bom,1290.0
228,87,Reclamação,2022-11-02,2,Bom,1367.3999999999999
229,96,Elogio,2024-05-11,2,Bom,204.0
230,97,Dúvida,2023-10-17,1,Bom,1067.3999999999999
231,1,Elogio,2023-06-04,5,Bom,1369.2
232,19,Reclamação,2023-09-16,3,Bom,499.8
233,2,Reclamação,2022-07-23,5,Bom,564.6
234,53,Reclamação,2022-06-06,3,Bom,852.6
235,44,Elogio,2023-01-18,4,Bom,36.6
236,90,Elogio,2024-02-20,5,Bom,699.6
237,32,Reclamação,2022-06-15,4,Bom,427.8
238,70,Elogio,2023-07-07,2,Bom,714.0
239,32,Reclamação,2024-09-03,2,Bom,229.8
240,68,Reclamação,2024-03-08,1,Ruim,3981.6
241,55,Dúvida,2024-08-02,5,Bom,1620.6000000000001
242,75,Elogio,2023-06-28,4,Médio,2046.0
243,56,Reclamação,2024-07-29,3,Ruim,2802.0
244,17,Reclamação,2022-01-01,2,Bom,1242.0
245,38,Elogio,2023-09-06,2,Bom,163.8
246,24,Dúvida,2022-11-28,3,Bom,1386.6
247,69,Dúvida,2023-05-16,4,Bom,1591.2
248,98,Reclamação,2022-01-20,4,Ruim,2463.0
249,70,Elogio,2022-04-25,5,Bom,1017.0
250,86,Dúvida,2024-08-09,5,Bom,245.39999999999998
251,11,Elogio,2023-01-07,1,Bom,600.6
252,16,Elogio,2024-06-18,2,Bom,811.8
253,97,Reclamação,2024-05-01,5,Bom,1869.0
254,73,Dúvida,2024-04-06,4,Bom,1522.2
255,59,Reclamação,2022-11-11,3,Bom,792.6
256,70,Dúvida,2022-09-03,4,Ruim,7751.4
257,80,Dúvida,2022-03-01,2,Bom,1675.2
258,93,Dúvida,2022-09-04,4,Bom,487.19999999999993
259,3,Dúvida,2024-06-18,1,Bom,193.20000000000002
260,20,Dúvida,2023-08-04,2,Bom,298.8
261,59,Elogio,2024-08-27,3,Bom,508.20000000000005
262,36,Reclamação,2022-03-22,1,Bom,315.0
263,19,Elogio,2022-03-29,2,Bom,371.40000000000003
264,90,Dúvida,2024-01-20,3,Bom,604.2
265,67,Reclamação,2023-05-13,1,Bom,342.6
266,19,Dúvida,2024-04-15,1,Ruim,4087.2000000000003
267,20,Reclamação,2022-03-12,2,Bom,150.6
268,96,Elogio,2024-02-18,5,Bom,1338.0
269,71,Reclamação,2023-06-30,1,Bom,951.0
270,52,Reclamação,2024-02-24,1,Ruim,7269.599999999999
271,33,Reclamação,2022-05-09,3,Bom,213.6
272,40,Reclamação,2022-05-12,4,Bom,913.2
273,39,Reclamação,2023-11-07,2,Ruim,6280.2
274,82,Dúvida,2023-05-02,2,Ruim,3611.3999999999996
275,1,Reclamação,2024-08-27,5,Ruim,3057.6
276,11,Reclamação,2023-07-17,5,Bom,537.0
277,92,Elogio,2022-06-19,2,Bom,337.2
278,57,Reclamação,2022-09-29,5,Bom,1988.4
279,89,Elogio,2023-06-25,3,Ruim,4770.6
280,50,Dúvida,2024-06-12,2,Bom,1464.6
281,23,Reclamação,2023-09-14,5,Bom,1525.8
282,31,Elogio,2023-03-10,2,Bom,591.0
283,94,Elogio,2024-09-14,4,Ruim,2641.2000000000003
284,42,Dúvida,2022-08-05,1,Bom,1863.0
285,99,Reclamação,2024-08-09,2,Bom,703.8000000000001
286,7,Reclamação,2023-07-07,1,Bom,997.2
287,16,Elogio,2024-02-13,5,Bom,1275.0
288,90,Reclamação,2024-01-18,1,Bom,499.8
289,60,Elogio,2023-12-08,2,Bom,219.60000000000002
290,2,Reclamação,2022-07-25,4,Bom,1698.0
291,1,Elogio,2024-01-01,5,Bom,613.2
292,48,Reclamação,2022-11-16,2,Bom,1566.6
293,12,Dúvida,2023-02-13,5,Bom,301.8
294,69,Reclamação,2023-11-19,3,Bom,1180.8
295,37,Reclamação,2023-10-28,1,Bom,1369.2
296,32,Dúvida,2023-01-18,3,Bom,96.0
297,9,Reclamação,2023-03-25,2,Bom,738.6
298,99,Dúvida,2024-07-10,4,Bom,259.8
299,19,Reclamação,2023-06-14,5,Bom,117.6
300,48,Elogio,2023-04-08,1,Ruim,8282.4
301,80,Elogio,2022-05-04,5,Bom,700.2
