ID_Atendimento,ID_Cliente,Tipo,Data,Tempo_Resposta,Nota_Satisfacao,informações importantes
63,71,Reclamação,2024-01-18,7.59,1,Bom
64,44,Reclamação,2023-04-16,99.09,1,Ruim
65,8,Reclamação,2023-07-04,0.37,5,Bom
66,47,Dúvida,2022-05-08,105.08,5,Ruim
67,35,Reclamação,2024-09-23,1.32,3,Bom
68,78,Elogio,2024-08-02,66.53,1,Ruim
69,81,Elogio,2023-01-23,22.5,4,Bom
70,36,Reclamação,2022-03-22,148.7,2,Ruim
71,50,Elogio,2023-07-20,2.3,2,Bom
72,4,Reclamação,2022-10-28,24.21,5,Bom
73,2,Reclamação,2024-04-29,104.51,3,Ruim
74,6,Elogio,2023-10-06,22.21,2,Bom
75,54,Reclamação,2023-09-26,29.78,1,Bom
76,4,Elogio,2024-06-25,35.7,5,Médio
77,54,Dúvida,2024-06-01,18.18,4,Bom
78,93,Reclamação,2023-01-06,29.63,5,Bom
79,63,Dúvida,2023-08-15,26.33,4,Bom
80,18,Elogio,2022-07-16,69.43,5,Ruim
81,90,Dúvida,2023-12-23,1.4,5,Bom
82,44,Dúvida,2022-03-13,9.9,5,Bom
83,34,Elogio,2022-02-16,90.12,4,Ruim
84,74,Dúvida,2023-11-09,66.29,4,Ruim
85,62,Dúvida,2022-08-22,18.25,5,Bom
86,100,Elogio,2024-03-02,29.04,2,Bom
87,14,Dúvida,2022-10-24,9.75,3,Bom
88,95,Elogio,2022-03-23,6.25,3,Bom
89,48,Dúvida,2024-05-25,18.69,3,Bom
90,15,Elogio,2022-08-27,13.08,4,Bom
91,72,Elogio,2024-06-06,26.29,4,Bom
92,78,Dúvida,2022-04-14,2.43,2,Bom
93,87,Dúvida,2023-01-25,109.95,3,Ruim
94,62,Dúvida,2022-10-12,128.52,3,Ruim
95,40,Reclamação,2023-04-10,35.94,5,Médio
96,85,Reclamação,2023-10-13,23.04,4,Bom
97,80,Reclamação,2024-05-04,11.11,3,Bom
98,82,Elogio,2023-01-09,50.43,2,Ruim
99,53,Dúvida,2022-06-16,34.63,2,Médio
100,24,Elogio,2023-01-15,5.32,3,Bom
101,26,Reclamação,2022-12-30,72.55,4,Ruim
102,89,Dúvida,2022-08-03,51.87,2,Ruim
103,60,Elogio,2023-11-18,89.75,5,Ruim
104,41,Dúvida,2022-10-01,38.81,2,Médio
105,29,Elogio,2023-12-20,28.51,1,Bom
106,15,Dúvida,2024-08-17,16.25,1,Bom
107,45,Reclamação,2023-12-01,80.97,4,Ruim
108,65,Reclamação,2023-10-26,60.31,3,Ruim
109,89,Dúvida,2022-03-15,1.39,4,Bom
110,71,Elogio,2023-09-16,0.8,4,Bom
111,9,Reclamação,2023-10-13,14.17,4,Bom
112,88,Reclamação,2022-06-25,49.91,4,Ruim
113,1,Reclamação,2023-07-01,654.6500000000001,5,Ruim
114,8,Dúvida,2024-01-17,4.89,5,Bom
115,88,Dúvida,2022-09-08,27.05,2,Bom
116,63,Elogio,2022-06-17,71.9,1,Ruim
117,11,Elogio,2023-04-19,105.11,4,Ruim
118,81,Elogio,2023-01-24,276.90000000000003,2,Ruim
119,8,Dúvida,2022-10-04,54.67,1,Ruim
120,35,Dúvida,2024-08-05,18.97,3,Bom
121,35,Elogio,2023-10-18,16.08,5,Bom
122,33,Elogio,2023-12-06,9.58,1,Bom
123,5,Dúvida,2023-07-25,1.74,3,Bom
124,41,Elogio,2022-08-13,60.01,1,Ruim
125,28,Reclamação,2023-12-03,50.28,5,Ruim
126,7,Dúvida,2022-11-29,245.17,5,Ruim
127,73,Elogio,2024-05-13,854.25,2,Ruim
128,72,Dúvida,2024-02-26,24.32,4,Bom
129,12,Reclamação,2024-03-05,43.96,1,Ruim
130,34,Dúvida,2022-02-27,86.89,1,Ruim
131,33,Dúvida,2022-08-23,56.84,3,Ruim
132,48,Dúvida,2024-04-21,8.52,5,Bom
133,23,Dúvida,2022-02-02,17.96,1,Bom
134,62,Reclamação,2024-04-04,4.15,5,Bom
135,88,Dúvida,2022-11-20,92.41,1,Ruim
136,37,Dúvida,2023-02-15,27.96,2,Bom
137,99,Elogio,2022-10-02,7.79,4,Bom
138,44,Dúvida,2022-03-09,33.41,1,Bom
139,86,Elogio,2022-08-05,28.88,5,Bom
140,91,Reclamação,2024-07-24,13.3,2,Bom
141,35,Reclamação,2024-08-23,3.62,1,Bom
142,65,Reclamação,2023-08-04,33.4,3,Bom
143,99,Reclamação,2024-06-16,22.04,4,Bom
144,47,Elogio,2024-01-06,44.39,1,Ruim
145,78,Dúvida,2022-11-19,22.03,2,Bom
146,3,Reclamação,2022-08-06,57.35,3,Ruim
147,1,Dúvida,2023-11-03,24.08,2,Bom
148,5,Elogio,2023-05-27,24.69,2,Bom
149,90,Elogio,2023-02-10,62.78,3,Ruim
150,14,Elogio,2024-06-24,15.5,2,Bom
151,27,Reclamação,2024-07-25,4.32,3,Bom
152,9,Dúvida,2023-10-21,0.88,1,Bom
153,79,Dúvida,2023-04-15,42.21,3,Ruim
154,15,Dúvida,2022-05-27,29.05,3,Bom
155,90,Elogio,2022-09-29,36.53,4,Médio
156,42,Reclamação,2022-05-23,7.18,3,Bom
157,77,Elogio,2022-09-10,4.4,3,Bom
158,51,Elogio,2024-02-02,0.44,1,Bom
159,63,Dúvida,2023-07-29,12.95,4,Bom
160,96,Elogio,2023-07-06,26.74,5,Bom
161,52,Dúvida,2022-09-27,14.94,1,Bom
162,96,Reclamação,2024-02-04,17.26,1,Bom
163,4,Dúvida,2023-08-22,70.35,5,Ruim
164,94,Reclamação,2023-03-15,12.84,3,Bom
165,23,Dúvida,2024-07-08,21.65,2,Bom
166,15,Elogio,2023-08-21,45.93,4,Ruim
167,43,Elogio,2023-02-13,15.15,2,Bom
168,29,Reclamação,2023-01-06,29.19,5,Bom
169,36,Reclamação,2022-08-13,59.49,1,Ruim
170,13,Reclamação,2022-05-22,89.59,1,Ruim
171,32,Dúvida,2023-06-06,4.77,4,Bom
172,71,Dúvida,2023-05-21,78.35,1,Ruim
173,59,Reclamação,2022-04-04,20.33,1,Bom
174,86,Elogio,2024-02-13,44.8,4,Ruim
175,28,Dúvida,2022-02-18,18.44,4,Bom
176,66,Dúvida,2024-05-31,117.41,5,Ruim
177,42,Dúvida,2022-04-23,20.35,1,Bom
178,45,Reclamação,2022-06-06,11.96,1,Bom
179,62,Reclamação,2023-10-05,30.1,5,Bom
180,57,Reclamação,2022-06-13,8.24,3,Bom
181,6,Reclamação,2024-03-22,2.37,3,Bom
182,28,Reclamação,2023-11-28,4.14,3,Bom
183,28,Elogio,2023-03-09,4.11,5,Bom
184,44,Elogio,2023-09-03,4.94,1,Bom
185,84,Reclamação,2022-03-07,4.48,5,Bom
186,30,Dúvida,2023-01-30,30.72,5,Bom
187,62,Reclamação,2023-01-26,6.02,3,Bom
188,75,Elogio,2023-09-03,12.72,2,Bom
189,92,Elogio,2023-04-25,68.13,1,Ruim
190,89,Dúvida,2023-06-26,19.27,3,Bom
191,62,Elogio,2022-09-15,33.04,2,Bom
192,97,Reclamação,2024-09-21,5.67,2,Bom
193,1,Dúvida,2023-07-21,6.41,4,Bom
194,27,Reclamação,2024-05-31,1.25,1,Bom
195,62,Reclamação,2024-08-23,5.55,2,Bom
196,77,Dúvida,2022-01-12,9.8,3,Bom
197,3,Reclamação,2023-11-28,5.84,4,Bom
198,70,Elogio,2024-01-09,2.79,1,Bom
199,72,Reclamação,2022-04-28,3.86,5,Bom
200,27,Dúvida,2023-11-30,18.53,3,Bom
201,9,Dúvida,2024-06-25,6.93,2,Bom
202,62,Dúvida,2023-07-04,13.59,2,Bom
203,37,Reclamação,2024-02-08,21.0,3,Bom
204,97,Dúvida,2022-10-01,35.17,2,Médio
205,51,Dúvida,2024-02-27,1.2,4,Bom
206,44,Reclamação,2023-10-19,48.19,1,Ruim
207,24,Elogio,2022-12-15,29.66,4,Bom
208,79,Reclamação,2022-04-25,2.56,2,Bom
209,59,Dúvida,2022-10-28,62.04,5,Ruim
210,32,Dúvida,2023-03-22,76.1,1,Ruim
211,96,Reclamação,2022-06-11,1.89,1,Bom
212,88,Elogio,2023-04-10,9.73,3,Bom
213,52,Dúvida,2022-01-04,49.23,3,Ruim
214,62,Dúvida,2024-09-03,41.38,5,Ruim
215,58,Dúvida,2024-01-10,6.12,1,Bom
216,52,Reclamação,2024-06-15,7.05,5,Bom
217,12,Dúvida,2024-01-07,13.88,3,Bom
218,39,Elogio,2022-09-27,19.88,3,Bom
219,2,Dúvida,2024-09-22,28.89,1,Bom
220,3,Dúvida,2023-05-28,13.81,4,Bom
221,56,Elogio,2024-02-20,18.63,2,Bom
222,81,Dúvida,2022-07-02,41.29,3,Ruim
223,59,Reclamação,2023-06-04,1.12,3,Bom
224,2,Reclamação,2024-07-23,8.73,4,Bom
225,2,Reclamação,2022-04-19,37.48,4,Médio
226,92,Elogio,2024-06-10,67.67,5,Ruim
227,54,Dúvida,2023-10-03,21.5,5,Bom
228,87,Reclamação,2022-11-02,22.79,2,Bom
229,96,Elogio,2024-05-11,3.4,2,Bom
230,97,Dúvida,2023-10-17,17.79,1,Bom
231,1,Elogio,2023-06-04,22.82,5,Bom
232,19,Reclamação,2023-09-16,8.33,3,Bom
233,2,Reclamação,2022-07-23,9.41,5,Bom
234,53,Reclamação,2022-06-06,14.21,3,Bom
235,44,Elogio,2023-01-18,0.61,4,Bom
236,90,Elogio,2024-02-20,11.66,5,Bom
237,32,Reclamação,2022-06-15,7.13,4,Bom
238,70,Elogio,2023-07-07,11.9,2,Bom
239,32,Reclamação,2024-09-03,3.83,2,Bom
240,68,Reclamação,2024-03-08,66.36,1,Ruim
241,55,Dúvida,2024-08-02,27.01,5,Bom
242,75,Elogio,2023-06-28,34.1,4,Médio
243,56,Reclamação,2024-07-29,46.7,3,Ruim
244,17,Reclamação,2022-01-01,20.7,2,Bom
245,38,Elogio,2023-09-06,2.73,2,Bom
246,24,Dúvida,2022-11-28,23.11,3,Bom
247,69,Dúvida,2023-05-16,26.52,4,Bom
248,98,Reclamação,2022-01-20,41.05,4,Ruim
249,70,Elogio,2022-04-25,16.95,5,Bom
250,86,Dúvida,2024-08-09,4.09,5,Bom
251,11,Elogio,2023-01-07,10.01,1,Bom
252,16,Elogio,2024-06-18,13.53,2,Bom
253,97,Reclamação,2024-05-01,31.15,5,Bom
254,73,Dúvida,2024-04-06,25.37,4,Bom
255,59,Reclamação,2022-11-11,13.21,3,Bom
256,70,Dúvida,2022-09-03,129.19,4,Ruim
257,80,Dúvida,2022-03-01,27.92,2,Bom
258,93,Dúvida,2022-09-04,8.12,4,Bom
259,3,Dúvida,2024-06-18,3.22,1,Bom
260,20,Dúvida,2023-08-04,4.98,2,Bom
261,59,Elogio,2024-08-27,8.47,3,Bom
262,36,Reclamação,2022-03-22,5.25,1,Bom
263,19,Elogio,2022-03-29,6.19,2,Bom
264,90,Dúvida,2024-01-20,10.07,3,Bom
265,67,Reclamação,2023-05-13,5.71,1,Bom
266,19,Dúvida,2024-04-15,68.12,1,Ruim
267,20,Reclamação,2022-03-12,2.51,2,Bom
268,96,Elogio,2024-02-18,22.3,5,Bom
269,71,Reclamação,2023-06-30,15.85,1,Bom
270,52,Reclamação,2024-02-24,121.16,1,Ruim
271,33,Reclamação,2022-05-09,3.56,3,Bom
272,40,Reclamação,2022-05-12,15.22,4,Bom
273,39,Reclamação,2023-11-07,104.67,2,Ruim
274,82,Dúvida,2023-05-02,60.19,2,Ruim
275,1,Reclamação,2024-08-27,50.96,5,Ruim
276,11,Reclamação,2023-07-17,8.95,5,Bom
277,92,Elogio,2022-06-19,5.62,2,Bom
278,57,Reclamação,2022-09-29,33.14,5,Bom
279,89,Elogio,2023-06-25,79.51,3,Ruim
280,50,Dúvida,2024-06-12,24.41,2,Bom
281,23,Reclamação,2023-09-14,25.43,5,Bom
282,31,Elogio,2023-03-10,9.85,2,Bom
283,94,Elogio,2024-09-14,44.02,4,Ruim
284,42,Dúvida,2022-08-05,31.05,1,Bom
285,99,Reclamação,2024-08-09,11.73,2,Bom
286,7,Reclamação,2023-07-07,16.62,1,Bom
287,16,Elogio,2024-02-13,21.25,5,Bom
288,90,Reclamação,2024-01-18,8.33,1,Bom
289,60,Elogio,2023-12-08,3.66,2,Bom
290,2,Reclamação,2022-07-25,28.3,4,Bom
291,1,Elogio,2024-01-01,10.22,5,Bom
292,48,Reclamação,2022-11-16,26.11,2,Bom
293,12,Dúvida,2023-02-13,5.03,5,Bom
294,69,Reclamação,2023-11-19,19.68,3,Bom
295,37,Reclamação,2023-10-28,22.82,1,Bom
296,32,Dúvida,2023-01-18,1.6,3,Bom
297,9,Reclamação,2023-03-25,12.31,2,Bom
298,99,Dúvida,2024-07-10,4.33,4,Bom
299,19,Reclamação,2023-06-14,1.96,5,Bom
300,48,Elogio,2023-04-08,138.04,1,Ruim
301,80,Elogio,2022-05-04,11.67,5,Bom
